"","gamma","nchain","est","var","mse","bias"
"1",1,1,3.86156630596436e-06,2.47767662965734e-13,4.67640439965322e-13,4.85388726118145e-08
"2",1,2,3.85353430120127e-06,1.24222544798467e-13,2.40132989449193e-13,4.05068678487206e-08
"3",1,3,3.82395647683375e-06,8.19226899995669e-14,1.41485635234336e-13,1.09290434812009e-08
"4",1,4,3.83300719855735e-06,6.22414528186167e-14,1.21246690415687e-13,1.99797652048092e-08
"5",1,5,3.83519515484733e-06,4.99033553735057e-14,9.56816083875066e-14,2.21677214947838e-08
"6",1,6,3.83266826621782e-06,4.15550175379304e-14,8.44638740935282e-14,1.96408328652718e-08
"7",1,7,3.81199680823067e-06,3.55151063540685e-14,6.81472853278392e-14,1.0306251218712e-09
"8",1,8,3.82533088077846e-06,3.11514406353583e-14,5.81076476679367e-14,1.23034474259155e-08
"9",1,9,3.82759765407666e-06,2.77810346085993e-14,5.29899347391202e-14,1.45702207241189e-08
"10",1,10,3.81932229512488e-06,2.49413061115215e-14,4.5954248829507e-14,6.29486177233495e-09
"11",1,11,3.82254715897014e-06,2.27601983300276e-14,4.36702741329415e-14,9.51972561759793e-09
"12",1,12,3.81640828038796e-06,2.07887198278041e-14,3.82035417441829e-14,3.38084703541479e-09
"13",1,13,3.81580679798183e-06,1.92178916996599e-14,3.72574522369464e-14,2.77936462928057e-09
"14",1,14,3.80259305485696e-06,1.77347939301697e-14,3.09848042060287e-14,1.04343784955853e-08
"15",1,15,3.82054264229349e-06,1.6677214544037e-14,3.01558419987842e-14,7.5152089409431e-09
"16",1,16,3.82204822343145e-06,1.56632538715445e-14,2.70319931602974e-14,9.02079007890839e-09
"17",1,17,3.82243614102068e-06,1.47690537278299e-14,2.82302317220382e-14,9.40870766813175e-09
"18",1,18,3.81176860745523e-06,1.38964533692913e-14,2.45576520595815e-14,1.25882589731317e-09
"19",1,19,3.82025156541283e-06,1.3175717289764e-14,2.38746788285839e-14,7.2241320602812e-09
"20",1,20,3.81295957771828e-06,1.25022679501812e-14,2.28393644509973e-14,6.78556342694687e-11
